F:\udacity_ai_car\IMG\center_2021_05_11_13_00_16_832.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_16_832.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_16_832.jpg, 0, 0, 0, 7.811929E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_16_933.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_16_933.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_16_933.jpg, 0, 0, 0, 7.808341E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_035.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_035.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_035.jpg, 0, 0, 0, 8.019823E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_138.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_138.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_138.jpg, 0, 0, 0, 7.813094E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_239.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_239.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_239.jpg, 0, 0, 0, 7.751224E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_341.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_341.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_341.jpg, 0, 0, 0, 7.974105E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_444.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_444.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_444.jpg, 0, 0, 0, 8.025127E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_545.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_545.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_545.jpg, 0, 0, 0, 7.782597E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_648.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_648.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_648.jpg, 0, 0, 0, 7.766535E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_750.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_750.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_750.jpg, 0, 0, 0, 7.814608E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_851.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_851.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_851.jpg, 0, 0, 0, 7.947123E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_17_954.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_17_954.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_17_954.jpg, 0, 0, 0, 7.785791E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_18_053.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_18_053.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_18_053.jpg, 0, 0, 0, 7.941679E-05
F:\udacity_ai_car\IMG\center_2021_05_11_13_00_18_155.jpg, F:\udacity_ai_car\IMG\left_2021_05_11_13_00_18_155.jpg, F:\udacity_ai_car\IMG\right_2021_05_11_13_00_18_155.jpg, 0, 0, 0, 7.819261E-05
